date,stock_symbol,symbol,closing_price
17/8/2015,AAAA,AAAA,111.859322
18/8/2015,AAAA,AAAA,111.229187
19/8/2015,AAAA,AAAA,109.806602
20/8/2015,AAAA,AAAA,107.553375
21/8/2015,AAAA,AAAA,100.975098
24/8/2015,AAAA,AAAA,98.454536
25/8/2015,AAAA,AAAA,99.046486
26/8/2015,AAAA,AAAA,104.727287
27/8/2015,AAAA,AAAA,107.81115
28/8/2015,AAAA,AAAA,108.164413
31/8/2015,AAAA,AAAA,107.658394
1/9/2015,AAAA,AAAA,102.846413
2/9/2015,AAAA,AAAA,107.257393
3/9/2015,AAAA,AAAA,105.376534
4/9/2015,AAAA,AAAA,104.326286
8/9/2015,AAAA,AAAA,107.228752
9/9/2015,AAAA,AAAA,105.166473
10/9/2015,AAAA,AAAA,107.477005
11/9/2015,AAAA,AAAA,109.042786
14/9/2015,AAAA,AAAA,110.093018
15/9/2015,AAAA,AAAA,111.01915
16/9/2015,AAAA,AAAA,111.14325
17/9/2015,AAAA,AAAA,108.765907
18/9/2015,AAAA,AAAA,108.317177
21/9/2015,AAAA,AAAA,109.997559
22/9/2015,AAAA,AAAA,108.269447
23/9/2015,AAAA,AAAA,109.147812
24/9/2015,AAAA,AAAA,109.79705
25/9/2015,AAAA,AAAA,109.520172
28/9/2015,AAAA,AAAA,107.352859
29/9/2015,AAAA,AAAA,104.125793
30/9/2015,AAAA,AAAA,105.309692
1/10/2015,AAAA,AAAA,104.622276
2/10/2015,AAAA,AAAA,105.38607
5/10/2015,AAAA,AAAA,105.76799
6/10/2015,AAAA,AAAA,106.273987
7/10/2015,AAAA,AAAA,105.76799
8/10/2015,AAAA,AAAA,104.545883
9/10/2015,AAAA,AAAA,107.04734
12/10/2015,AAAA,AAAA,106.550873
13/10/2015,AAAA,AAAA,106.732285
14/10/2015,AAAA,AAAA,105.223763
15/10/2015,AAAA,AAAA,106.799118
16/10/2015,AAAA,AAAA,106.016212
19/10/2015,AAAA,AAAA,106.674995
20/10/2015,AAAA,AAAA,108.622688
21/10/2015,AAAA,AAAA,108.613159
22/10/2015,AAAA,AAAA,110.274422
23/10/2015,AAAA,AAAA,113.692459
26/10/2015,AAAA,AAAA,110.064369
27/10/2015,AAAA,AAAA,109.367401
28/10/2015,AAAA,AAAA,113.873856
29/10/2015,AAAA,AAAA,115.076851
30/10/2015,AAAA,AAAA,114.093452
2/11/2015,AAAA,AAAA,115.697449
3/11/2015,AAAA,AAAA,117.024551
4/11/2015,AAAA,AAAA,116.480339
5/11/2015,AAAA,AAAA,115.94339
6/11/2015,AAAA,AAAA,116.077629
9/11/2015,AAAA,AAAA,115.607796
10/11/2015,AAAA,AAAA,111.964195
11/11/2015,AAAA,AAAA,111.331345
12/11/2015,AAAA,AAAA,110.957413
13/11/2015,AAAA,AAAA,107.716499
16/11/2015,AAAA,AAAA,109.480782
17/11/2015,AAAA,AAAA,109.010956
18/11/2015,AAAA,AAAA,112.462791
19/11/2015,AAAA,AAAA,113.891464
20/11/2015,AAAA,AAAA,114.390068
23/11/2015,AAAA,AAAA,112.903854
24/11/2015,AAAA,AAAA,113.98735
25/11/2015,AAAA,AAAA,113.172325
27/11/2015,AAAA,AAAA,112.961395
30/11/2015,AAAA,AAAA,113.431229
1/12/2015,AAAA,AAAA,112.510719
2/12/2015,AAAA,AAAA,111.494362
3/12/2015,AAAA,AAAA,110.458809
4/12/2015,AAAA,AAAA,114.131172
7/12/2015,AAAA,AAAA,113.412041
8/12/2015,AAAA,AAAA,113.364113
9/12/2015,AAAA,AAAA,110.861519
10/12/2015,AAAA,AAAA,111.388885
11/12/2015,AAAA,AAAA,108.521942
14/12/2015,AAAA,AAAA,107.850754
15/12/2015,AAAA,AAAA,105.94265
16/12/2015,AAAA,AAAA,106.757668
17/12/2015,AAAA,AAAA,104.494812
18/12/2015,AAAA,AAAA,101.666206
21/12/2015,AAAA,AAAA,102.912712
22/12/2015,AAAA,AAAA,102.816826
23/12/2015,AAAA,AAAA,104.14003
24/12/2015,AAAA,AAAA,103.583885
28/12/2015,AAAA,AAAA,102.423691
29/12/2015,AAAA,AAAA,104.264664
30/12/2015,AAAA,AAAA,102.903107
31/12/2015,AAAA,AAAA,100.927902
4/1/2016,AAAA,AAAA,101.014191
5/1/2016,AAAA,AAAA,98.482849
6/1/2016,AAAA,AAAA,96.555565
7/1/2016,AAAA,AAAA,92.480484
8/1/2016,AAAA,AAAA,92.969498
11/1/2016,AAAA,AAAA,94.474884
12/1/2016,AAAA,AAAA,95.846008
13/1/2016,AAAA,AAAA,93.381798
14/1/2016,AAAA,AAAA,95.424126
15/1/2016,AAAA,AAAA,93.132484
19/1/2016,AAAA,AAAA,92.681847
20/1/2016,AAAA,AAAA,92.806503
21/1/2016,AAAA,AAAA,92.336662
22/1/2016,AAAA,AAAA,97.245934
25/1/2016,AAAA,AAAA,95.347427
26/1/2016,AAAA,AAAA,95.874786
27/1/2016,AAAA,AAAA,89.57518
28/1/2016,AAAA,AAAA,90.217606
29/1/2016,AAAA,AAAA,93.333855
1/2/2016,AAAA,AAAA,92.461311
2/2/2016,AAAA,AAAA,90.59156
3/2/2016,AAAA,AAAA,92.384598
4/2/2016,AAAA,AAAA,93.1269
5/2/2016,AAAA,AAAA,90.639664
8/2/2016,AAAA,AAAA,91.594078
9/2/2016,AAAA,AAAA,91.574799
10/2/2016,AAAA,AAAA,90.880684
11/2/2016,AAAA,AAAA,90.331177
12/2/2016,AAAA,AAAA,90.610756
16/2/2016,AAAA,AAAA,93.165482
17/2/2016,AAAA,AAAA,94.592262
18/2/2016,AAAA,AAAA,92.799126
19/2/2016,AAAA,AAAA,92.587059
22/2/2016,AAAA,AAAA,93.396843
23/2/2016,AAAA,AAAA,91.285568
24/2/2016,AAAA,AAAA,92.644897
25/2/2016,AAAA,AAAA,93.281166
26/2/2016,AAAA,AAAA,93.425774
29/2/2016,AAAA,AAAA,93.213684
1/3/2016,AAAA,AAAA,96.915619
2/3/2016,AAAA,AAAA,97.127716
3/3/2016,AAAA,AAAA,97.850739
4/3/2016,AAAA,AAAA,99.306458
7/3/2016,AAAA,AAAA,98.207436
8/3/2016,AAAA,AAAA,97.397629
9/3/2016,AAAA,AAAA,97.484413
10/3/2016,AAAA,AAAA,97.5326
11/3/2016,AAAA,AAAA,98.58342
14/3/2016,AAAA,AAAA,98.834068
15/3/2016,AAAA,AAAA,100.820015
16/3/2016,AAAA,AAAA,102.160034
17/3/2016,AAAA,AAAA,101.996147
18/3/2016,AAAA,AAAA,102.111832
21/3/2016,AAAA,AAAA,102.102196
22/3/2016,AAAA,AAAA,102.883064
23/3/2016,AAAA,AAAA,102.31427
24/3/2016,AAAA,AAAA,101.870819
28/3/2016,AAAA,AAAA,101.408089
29/3/2016,AAAA,AAAA,103.808548
30/3/2016,AAAA,AAAA,105.620964
31/3/2016,AAAA,AAAA,105.071449
1/4/2016,AAAA,AAAA,106.035492
4/4/2016,AAAA,AAAA,107.12487
5/4/2016,AAAA,AAAA,105.861961
6/4/2016,AAAA,AAAA,106.970627
7/4/2016,AAAA,AAAA,104.63765
8/4/2016,AAAA,AAAA,104.753319
11/4/2016,AAAA,AAAA,105.100372
12/4/2016,AAAA,AAAA,106.469322
13/4/2016,AAAA,AAAA,108.011795
14/4/2016,AAAA,AAAA,108.069633
15/4/2016,AAAA,AAAA,105.900528
18/4/2016,AAAA,AAAA,103.615738
19/4/2016,AAAA,AAAA,103.066238
20/4/2016,AAAA,AAAA,103.278313
21/4/2016,AAAA,AAAA,102.160034
22/4/2016,AAAA,AAAA,101.880455
25/4/2016,AAAA,AAAA,101.302032
26/4/2016,AAAA,AAAA,100.598267
27/4/2016,AAAA,AAAA,94.303047
28/4/2016,AAAA,AAAA,91.42054
29/4/2016,AAAA,AAAA,90.369743
2/5/2016,AAAA,AAAA,90.273331
3/5/2016,AAAA,AAAA,91.757965
4/5/2016,AAAA,AAAA,90.803558
5/5/2016,AAAA,AAAA,90.43499
6/5/2016,AAAA,AAAA,89.930634
9/5/2016,AAAA,AAAA,89.998535
10/5/2016,AAAA,AAAA,90.609573
11/5/2016,AAAA,AAAA,89.726952
12/5/2016,AAAA,AAAA,87.622231
13/5/2016,AAAA,AAAA,87.796814
16/5/2016,AAAA,AAAA,91.05574
17/5/2016,AAAA,AAAA,90.677467
18/5/2016,AAAA,AAAA,91.715279
19/5/2016,AAAA,AAAA,91.366112
20/5/2016,AAAA,AAAA,92.355431
23/5/2016,AAAA,AAAA,93.529022
24/5/2016,AAAA,AAAA,94.954796
25/5/2016,AAAA,AAAA,96.623062
26/5/2016,AAAA,AAAA,97.389297
27/5/2016,AAAA,AAAA,97.331093
31/5/2016,AAAA,AAAA,96.855843
1/6/2016,AAAA,AAAA,95.497955
2/6/2016,AAAA,AAAA,94.780228
3/6/2016,AAAA,AAAA,94.97419
6/6/2016,AAAA,AAAA,95.662834
7/6/2016,AAAA,AAAA,96.050804
8/6/2016,AAAA,AAAA,95.963524
9/6/2016,AAAA,AAAA,96.652153
10/6/2016,AAAA,AAAA,95.856819
13/6/2016,AAAA,AAAA,94.411652
14/6/2016,AAAA,AAAA,94.52803
15/6/2016,AAAA,AAAA,94.217667
16/6/2016,AAAA,AAAA,94.615334
17/6/2016,AAAA,AAAA,92.46212
20/6/2016,AAAA,AAAA,92.239037
21/6/2016,AAAA,AAAA,93.024666
22/6/2016,AAAA,AAAA,92.675507
23/6/2016,AAAA,AAAA,93.208954
24/6/2016,AAAA,AAAA,90.590187
27/6/2016,AAAA,AAAA,89.271095
28/6/2016,AAAA,AAAA,90.774452
29/6/2016,AAAA,AAAA,91.560097
30/6/2016,AAAA,AAAA,92.723991
1/7/2016,AAAA,AAAA,93.005264
5/7/2016,AAAA,AAAA,92.132347
6/7/2016,AAAA,AAAA,92.656097
7/7/2016,AAAA,AAAA,93.053764
8/7/2016,AAAA,AAAA,93.771507
11/7/2016,AAAA,AAAA,94.062469
12/7/2016,AAAA,AAAA,94.48925
13/7/2016,AAAA,AAAA,93.955788
14/7/2016,AAAA,AAAA,95.818039
15/7/2016,AAAA,AAAA,95.808319
18/7/2016,AAAA,AAAA,96.826736
19/7/2016,AAAA,AAAA,96.865524
20/7/2016,AAAA,AAAA,96.952835
21/7/2016,AAAA,AAAA,96.438766
22/7/2016,AAAA,AAAA,95.691956
25/7/2016,AAAA,AAAA,94.411652
26/7/2016,AAAA,AAAA,93.761803
27/7/2016,AAAA,AAAA,99.852875
28/7/2016,AAAA,AAAA,101.201065
29/7/2016,AAAA,AAAA,101.074974
1/8/2016,AAAA,AAAA,102.859627
2/8/2016,AAAA,AAAA,101.336853
3/8/2016,AAAA,AAAA,102.607445
4/8/2016,AAAA,AAAA,103.241302
5/8/2016,AAAA,AAAA,104.811317
8/8/2016,AAAA,AAAA,105.679222
9/8/2016,AAAA,AAAA,106.108307
10/8/2016,AAAA,AAAA,105.318413
